Link Post,Komentar
https://www.instagram.com/p/DQVzS_CEi5W/,Hahahahhaa... Siapa yang akan menjadi bahan bakar neraka Jahanam menurut Al-Quran? Jawab sendiri aja deh...😂
https://www.instagram.com/p/DQVzS_CEi5W/,"Semua gara"" joko😢"
https://www.instagram.com/p/DQVzS_CEi5W/,"Demo nepalkan pejabat"" yg korup 🔥🔥🔥"
https://www.instagram.com/p/DQVzS_CEi5W/,"Kalau purbaya direshuffle, kita bubar aja jadi negara. Percuma"
https://www.instagram.com/p/DQVzS_CEi5W/,"Wahai Pk Purbaya yg saya kagumi. Sebelum ini terjadi, saya sarankan anda mundur saja. Itu akan lebih terhormat daripada bertahan tapi kena reshuffle. Yakinlah nama anda akan tetap berkibar di hati rakyat yang waras. Dan pada tahun 2029 carilah Parpol yg siap mengusung anda maju sebagai capres. Yakinlah anda akan mendapat dukungan penuh rakyat. Sosok anda sangat dibutuhkan negara ini utk membersihkan sampah politik, hukum dan ekonomi yg mengotori Indonesia dan membuat negera ini sulit maju. Dengarkannlah permintaan rakyat. Anda tetap terbaik. Salam dari bali."
https://www.instagram.com/p/DQVzS_CEi5W/,BAHLIL AJA YG DI RESHUFFLE
https://www.instagram.com/p/DQVzS_CEi5W/,"p. luhut & p. bahlil aja yg di reshuffle🙇🏽‍♀️ beliau (berdua) lgsg dipanggil ke akhirat pun, saya ikhlas ya Allah🙏"
https://www.instagram.com/p/DQVzS_CEi5W/,"Nilai bagus gini masa terancam reshuffle😂, org"" yg ga keliatan kerja nya kga di reshuffle👀"
https://www.instagram.com/p/DQVzS_CEi5W/,"Lawan kezaliman, dukung Purbaya Brantas korupsi 👉👉👉"
https://www.instagram.com/p/DQVzS_CEi5W/,Fix kalo pur kena resufle kita di pimpin anak SD. Org pintar kalah oleh org dungu yg punya kekuasaan
https://www.instagram.com/p/DQVzS_CEi5W/,Jangan di reshuffle menteri bagus gini pak Presiden @prabowo @gerindra menteri yang sesuai visi misi Pak Presiden ini..
https://www.instagram.com/p/DQVzS_CEi5W/,TOMBOL FIX DEMO KALO PAK PURBAYA DI RESHUFFLE 🔥🔥🔥🔥 ==========>
https://www.instagram.com/p/DQVzS_CEi5W/,5 likes
https://www.instagram.com/p/DQVzS_CEi5W/,"Rakyat Indonesia tidak boleh tinggal diam, dua orang yang Paling bertanggungjawab atas bobroknya Tata kelola pemerintahan dan keuangan negara, Luhut dan Jokowi layak diadili, démo besar besaran opsi yg tidak bisa dihindarkan"
https://www.instagram.com/p/DQVzS_CEi5W/,11 likes
https://www.instagram.com/p/DQVzS_CEi5W/,Genk solo mulai gusar 😂😂😂
https://www.instagram.com/p/DQVzS_CEi5W/,"Rakyat bersamamu pa mentri , kekuasaan tertinggi ada di rakyat, kalau pa menteri di ganti kami siap luluhlsntahkan DPR"
https://www.instagram.com/p/DQVzS_CEi5W/,"Kalau saya sih mending yg di resuffle luhut, udah kelamaan di pemerintahan. Udah mah segala jabatan dia makan!😂"
https://www.instagram.com/p/DQVzS_CEi5W/,Siapa takut.....allohukbar
https://www.instagram.com/p/DQVzS_CEi5W/,"Kalau memang terjadi,RAKYAT tau kan harus berbuat apa!!!"
https://www.instagram.com/p/DQVzS_CEi5W/,"Baru issue, aku menulis dalam kadaan menangis, semangat pak @purbayayudhi_official"
https://www.instagram.com/p/DQVzS_CEi5W/,"Mau kerja bener, ada aja halangannya ya Allah"
https://www.instagram.com/p/DQVzS_CEi5W/,16 likes
https://www.instagram.com/p/DQVzS_CEi5W/,Persiapkan sunscren kalian persiapan demo geden🔥
https://www.instagram.com/p/DQVzS_CEi5W/,Kakek luhut dan kawan” yg sudah berumur mohon pengertian waktunya istirahat di rumah 🙏🙏🙏
https://www.instagram.com/p/DQVzS_CEi5W/,Demo besar2an klo sampe di resuhfle. Purbaya non partai tapi rakyat bersama purbaya.
https://www.instagram.com/p/DQVzS_CEi5W/,© 2026 Instagram from Meta
https://www.instagram.com/p/DQVzS_CEi5W/,View all 2 replies
https://www.instagram.com/p/DQVzS_CEi5W/,"Butuh intelijen netijen buat menelanjangi ""PERUSUH BANGSA"" sebenarnya, yg menggerogoti pemerintahan dari dalam. Jika terang benderang dalangnya langsung kita tawur rame-rame."
https://www.instagram.com/p/DQVzS_CEi5W/,"Inget ya Pak @prabowo @presidenrepublikindonesia klo bapak gak bisa back up Pak @purbayayudhi_official kami semua atas nama rakyat indonesia yang ingin perubahan, akan melakukan sesuatu yang sangat BESAR yang bikin para koruptor2 itu hilang dari muka bumi ini 👊❗ #savepurbaya #welovepurbaya demi #perubahan"
https://www.instagram.com/p/DQVzS_CEi5W/,"Taulah kan apa yang akan terjadi jika pak purbaya di reshuffle? Sudah pasti rakyat bakal turun ke jalan, DEMO!!!"
https://www.instagram.com/p/DQVzS_CEi5W/,RAKYAT BERSAMA PURBAYA !
https://www.instagram.com/p/DQVzS_CEi5W/,@tyaapurnama orang jujur musuh penjahat 😢
https://www.instagram.com/p/DQVzS_CEi5W/,daripada PURBAYA di Reshuffle lebih baik 10 menteri titipan JOKOWI di pecat.
https://www.instagram.com/p/DQVzS_CEi5W/,"Republik, namun semua ada ditangan partai.. apa perlu semua partai dihapuskan"
https://www.instagram.com/p/DQVzS_CEi5W/,"Sakit nih pemerintahan, pada buta kali ya sama realita? udah terlalu nyaman diposisi mereka dengan kekuasaannya"
https://www.instagram.com/p/DQVzS_CEi5W/,Semoga Allah menjaga yang baik dan benar
https://www.instagram.com/p/DQVzS_CEi5W/,Maju terus pak.. tuhan bersama orang yg baik..
https://www.instagram.com/p/DQVzS_CEi5W/,Si Luhut wajib di pecat..
https://www.instagram.com/p/DQVzS_CEi5W/,Instagram Lite
https://www.instagram.com/p/DQVzS_CEi5W/,"DUKUNGAN DR KABINET DAN DPR KORUP TDK DI BUTUHKAN , RAKYAT 100% DUKUNG MENKUE PAK PURBAYA YS.. LANJUT PAK SAMPAI YG KORUP² NGUMPUL DI NUSAKAMBANGAN 🔥🔥👏👏"
https://www.instagram.com/p/DQVzS_CEi5W/,Enak aja....Gua Dukung P Purbaya....🙌❤️
https://www.instagram.com/p/DQVzS_CEi5W/,"Di negara sakit ini , orang sehat emang ga di butuhin & bakalan disingkirin."
https://www.instagram.com/p/DQVzS_CEi5W/,794 likes
https://www.instagram.com/p/DQVzS_CEi5W/,Lumut aja yg di pecat sambil di pencet. Udh tuwek. Ngapain sih...bikin pemandangan gak fresh😂
https://www.instagram.com/p/DQVzS_CEi5W/,Indonesia kok susah bener jadi bener
https://www.instagram.com/p/DQVzS_CEi5W/,@prabowo tidak akan ada lagi yg lebih baik dari beliu untuk negeri ini pak🙏
https://www.instagram.com/p/DQUIf03kufG/,Instagram Lite
https://www.instagram.com/p/DQUIf03kufG/,Dukung Pak Purbaya🔥🔥
https://www.instagram.com/p/DQUIf03kufG/,"October 27, 2025"
https://www.instagram.com/p/DQUIf03kufG/,Meta in Indonesia
https://www.instagram.com/p/DQUIf03kufG/,See translation
https://www.instagram.com/p/DQUIf03kufG/,1 like
https://www.instagram.com/p/DQUIf03kufG/,1 comment from Facebook
https://www.instagram.com/p/DQUIf03kufG/,"PAK PURBAYA MENKEU , IDOLA GEN Z KAYAK GUE , SEMANGAT DAN LANJUTKAN PAK , MANTAP DAN BRAVO"
https://www.instagram.com/p/DQUIf03kufG/,Contact Uploading & Non-Users
https://www.instagram.com/p/DQUIf03kufG/,"akuratco
 9w
Menteri Keuangan, Purbaya Yudhi Sadewa, menegaskan gaya “koboi” yang kerap melekat padanya merupakan perintah langsung dari Presiden Prabowo Subianto. 

Ia bahkan menyebut Prabowo jauh lebih keras darinya dalam sejumlah rapat.

""Presiden (Prabowo) lebih keras dari saya kok. Saya sudah korting berapa persen, sudah saya korting berapa puluh persen itu. Beliau lebih keras dari saya, jadi saya sudah versi halusnya lah,"" ungkapnya dalam economic Hari Keuangan Nasional di Studio CNN, Jakarta Selatan, Senin (27/10/2025).

Purbaya menambahkan, dirinya tidak peduli dengan pihak yang tidak sepakat dengan caranya berbicara selama hal itu dilakukan demi kepentingan negara. 

Ia juga menyebut akan menyesuaikan diri hanya jika diperintah langsung oleh Presiden Prabowo.

Gimana menurut kalian, gengs?

#menterikeuangan #purbayayudhisadewa #purbaya #presidenprabowo #akuratco"
https://www.instagram.com/p/DQUIf03kufG/,Meta AI
https://www.instagram.com/p/DQUIf03kufG/,Also from Meta
https://www.instagram.com/p/DQUIf03kufG/,2 likes
https://www.instagram.com/p/DQUIf03kufG/,© 2026 Instagram from Meta
https://www.instagram.com/p/DQUIf03kufG/,❤️❤️ lanjutkan Pak
https://www.instagram.com/p/DQUIf03kufG/,Meta Verified
https://www.instagram.com/p/DQUIf03kufG/,"Jangan dengarkan orang lain, jalan terus pak anda sudah benar dan sudah dicintai rakyat."
https://www.instagram.com/p/DO7_VhWDrP_/,1 like
https://www.instagram.com/p/DO7_VhWDrP_/,"Luhut luhut, periksa itu"
https://www.instagram.com/p/DO7_VhWDrP_/,"2,140 likes"
https://www.instagram.com/p/DO7_VhWDrP_/,169 likes
https://www.instagram.com/p/DO7_VhWDrP_/,Jaman buk sri mulyani kita rakyat kecil di peras.ternya pak purabaya lebih jago pinter dan tegas dr buk sri.
https://www.instagram.com/p/DO7_VhWDrP_/,"Pak.. 😮 kenapa ngga dari dulu aja sih menjabat.. habis ini Bapak pasti banyak yg musuhin,, semoga Bapak selalu dlm lindungan Nya.. 🤲🏼 beliau patut jd contoh dan teladan untuk menteri² dan pejabat negara yg lain.."
https://www.instagram.com/p/DO7_VhWDrP_/,"""kembalikan Sri Mulyani"""
https://www.instagram.com/p/DO7_VhWDrP_/,"Mantap pak Menkeu sikat pengusaha"" elit tuhh 👏👏"
https://www.instagram.com/p/DO7_VhWDrP_/,Susah hidup disini?? Gimana kalau mereka ke luar negeri?
https://www.instagram.com/p/DO7_VhWDrP_/,Ini yg dicari selama ini😂
https://www.instagram.com/p/DO7_VhWDrP_/,346 likes
https://www.instagram.com/p/DO7_VhWDrP_/,View all 1 replies
https://www.instagram.com/p/DO7_VhWDrP_/,Mahkota 👑 mu sedang dalam perjalanan pa..tungguin di rumah
https://www.instagram.com/p/DO7_VhWDrP_/,"Jangan rakyat kecil saja yg dipajak pak, tuh orang kaya banyak gak kena pajak"
https://www.instagram.com/p/DO7_VhWDrP_/,4 likes
https://www.instagram.com/p/DO7_VhWDrP_/,Nah ini baru petugas rakyat sesungguhnya! Bukan petugas partai!
https://www.instagram.com/p/DO7_VhWDrP_/,"3,577 likes"
https://www.instagram.com/p/DO7_VhWDrP_/,Nah ini baru bener yg di hajar para bos-bos bukan rakyat kecil
https://www.instagram.com/p/DO7_VhWDrP_/,Saatnya cr anggota dpr pak dirut Dan kepala daerah yg korupsi
https://www.instagram.com/p/DO7_VhWDrP_/,LEBIH NGERI DARIPADA BENDAHARA KELAS😂
https://www.instagram.com/p/DO7_VhWDrP_/,Meta in Indonesia
https://www.instagram.com/p/DO7_VhWDrP_/,Pantes Sri anteng selama ini Dy melindungi pajak orng2 besar 😂
https://www.instagram.com/p/DO7_VhWDrP_/,Smoga bpk slalu dlm lindungan allah swt & rezeki bpk beserta kluarga berkah melimpah 🫰🏻🤲🏻
https://www.instagram.com/p/DO7_VhWDrP_/,"Pemerintah sebenarnya,,, menyasar kalangan atas!!! bukan kalangan bawah"
https://www.instagram.com/p/DO7_VhWDrP_/,beliau sudah all in 200T ya kali gak ada pemasukan😂👏
https://www.instagram.com/p/DO7_VhWDrP_/,MANTAP 👍👍👍🔥🔥🔥🔥
https://www.instagram.com/p/DO7_VhWDrP_/,"Nah Ini baru bener, kalo mau menekan ya tekanlah yg kuat, jangan menekan yg rapuh"
https://www.instagram.com/p/DO7_VhWDrP_/,Memang betul anak nya bilng bapak nya gantiin agen CIA 😂
https://www.instagram.com/p/DO7_VhWDrP_/,"Gaskeuuun pak,,,bismillah"
https://www.instagram.com/p/DO7_VhWDrP_/,Gasss pak 🔥🔥
https://www.instagram.com/p/DO7_VhWDrP_/,857 likes
https://www.instagram.com/p/DO7_VhWDrP_/,109 likes
https://www.instagram.com/p/DO7_VhWDrP_/,Gas 🔥🔥🔥
https://www.instagram.com/p/DO7_VhWDrP_/,Semoga dilancarkan segala urusan demi perbaikan negeri ini pakde
https://www.instagram.com/p/DO7_VhWDrP_/,Ini yg rakyat mau..gas kan pak👍👍👍
https://www.instagram.com/p/DO7_VhWDrP_/,mantap pak ❤️❤️❤️🔥🔥🔥
https://www.instagram.com/p/DO7_VhWDrP_/,75 likes
https://www.instagram.com/p/DO7_VhWDrP_/,"Nah Mentri yg benar tu begini, kejar pajak orang kaya, jgn apa2 naikin pajak aja tau nyaa, 🔥🔥🔥"
https://www.instagram.com/p/DO7_VhWDrP_/,Sehat2 Terus Pak Menteri🔥🔥
https://www.instagram.com/p/DO7_VhWDrP_/,Meta Verified
https://www.instagram.com/p/DO7_VhWDrP_/,View all 10 replies
https://www.instagram.com/p/DO7_VhWDrP_/,👍👍👍Jngn rakyat aj yg dikejar pajak
https://www.instagram.com/p/DO7_VhWDrP_/,"Menyala Pak Menkeu, Allah selalu bersama org2 jujur dan amanah...🔥🔥🔥"
https://www.instagram.com/p/DO7_VhWDrP_/,See translation
https://www.instagram.com/p/DO7_VhWDrP_/,Rakyat harus backup pak menteri kita ini
https://www.instagram.com/p/DO7_VhWDrP_/,Gas Polll Pak Mentri....
https://www.instagram.com/p/DO7_VhWDrP_/,sehat2 bpa
https://www.instagram.com/p/DO7_VhWDrP_/,51 likes
https://www.instagram.com/p/DO7_VhWDrP_/,View all 19 replies
https://www.instagram.com/p/DO7_VhWDrP_/,View all 58 replies
https://www.instagram.com/p/DO7_VhWDrP_/,Saya suka cara bapak ini. Keras ke org besar. Klw yg lama beraninya ke yg kecil
https://www.instagram.com/p/DO7_VhWDrP_/,"1,664 likes"
https://www.instagram.com/p/DO7_VhWDrP_/,SRI MULYANI BERUNTUNG HIDUP DI INDO. SRI BERUNTUNG GAK DISERET & DIPENGGAL KEPALANYA SAAT DIDEMO
https://www.instagram.com/p/DO7_VhWDrP_/,3 likes
https://www.instagram.com/p/DO7_VhWDrP_/,362 likes
https://www.instagram.com/p/DO7_VhWDrP_/,jika negara ingin maju yaa gebrakannya harus seperti ini
https://www.instagram.com/p/DO7_VhWDrP_/,Prabowo Sudah sangat tepat pilih menteri
https://www.instagram.com/p/DO7_VhWDrP_/,"Kalangan atas mulai kawatir, sikat pak rakyat mendukungmu🔥🔥🔥"
https://www.instagram.com/p/DO7_VhWDrP_/,View all 69 replies
https://www.instagram.com/p/DO7_VhWDrP_/,9 dari 10% perusahaan industri yg ada di provinsi Banten di kuasai oleh Tion**ok tapi 9 dari 10% perusahaan perusahaan tsb sering menyalah gunakan aturan termasuk perpajakan. so di sini kita simpulkan bahwa investor asing dri negara tsb rata rata tidak bayar pajak. ini fakta yg terjadi di lapangan namun banyak di bungkam oleh oknum yg mempunyai kepentingan pribadi.
https://www.instagram.com/p/DO7_VhWDrP_/,"September 23, 2025"
https://www.instagram.com/p/DO7_VhWDrP_/,Baru berapa bulan udah ada aja gebrakannya
https://www.instagram.com/p/DO7_VhWDrP_/,Awas diintelin hetters pa🔥❤️ semoga orang ini terlindungi . Biasanya KLO yg cerdas dan krjanya bener bnyak musuh😂
https://www.instagram.com/p/DO7_VhWDrP_/,Gas truz pak..netizen di belakang mu...🔥🔥🔥
https://www.instagram.com/p/DO7_VhWDrP_/,8 likes
https://www.instagram.com/p/DO7_VhWDrP_/,45 likes
https://www.instagram.com/p/DO7_VhWDrP_/,View all 35 replies
https://www.instagram.com/p/DO7_VhWDrP_/,"Ya allah 60 t buat bayar pajak aja, swmoga nular rezekinya ya allah aamiiin"
https://www.instagram.com/p/DO7_VhWDrP_/,Jadi heran knp srimulyani awet..
https://www.instagram.com/p/DO7_VhWDrP_/,Mantappp gas pak..cukong2 besar yg nunggak pajak..jgn kyak si mul..cm berani meras rakyat kecil
https://www.instagram.com/p/DO7_VhWDrP_/,Ternak nya Ratu pajak Agen IMF lg kebakaran jenggot
https://www.instagram.com/p/DO7_VhWDrP_/,Galak ke orang atas...... Senyum2 ke rakyat... Gak kayak kemarin
https://www.instagram.com/p/DO7_VhWDrP_/,Baru aja bayar pajak. 700 rb 😂
https://www.instagram.com/p/DO7_VhWDrP_/,C Sri Mul memang gda guna nya selama ini
https://www.instagram.com/p/DO7_VhWDrP_/,462 likes
https://www.instagram.com/p/DO7_VhWDrP_/,Masih ada yg banggain Sri Mulayani ? 😂
